Indicator_Name,Unit,Baseline_Year,Baseline_Value,Latest_Year,Latest_Value,Target_Year,Target_Value,Education_Level,Region,Total_Pop,Not_Literate_Count,Literacy_Rate,Context_ID,Context_Name,Context_Description,Implementation_Gap,Year
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,55,2026
"Enhanced Teacher Deployment, Quality improvement and Efficient Use of Resources",% of Districts with appropriate PTR at Primary (30 < = PTR = <40),2019,24.1,2022,45,2026,100,Management and Administration,Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,55,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.6,2026
Increased Enrolment,GER,2019,113.9,2022,102.6,2026,100,Basic Education (KG),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.6,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,3000,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,40076,2022,47987,2026,50987,Basic Education (KG),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,3000,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.5,2026
Increased Enrolment,GER,2019,105.3,2022,102.5,2026,100,Basic Education (PRIMARY),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-2.5,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,20192,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,110058,2022,125684,2026,145876,Basic Education (PRIMARY),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,20192,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-8.6,2026
Increased Enrolment,GER,2019,86.2,2022,100.6,2026,92,Basic Education (JHS),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-8.6,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),North East,522717,334882,35.93,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Upper East,1097541,569773,48.09,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,9229,2026
Improved Teacher Professionalism and Deployment,No. of Teachers,2019,92828,2022,112224,2026,121453,Basic Education (JHS),Upper West,754267,407067,46.03,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,9229,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Western,1764583,483403,72.61,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Central,2452182,607309,75.23,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Greater Accra,4766249,575253,87.93,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Volta,1433518,416834,70.92,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Eastern,2526584,614412,75.68,Context 3,Southern Belt,Highly urbanized or coastal regions with higher existing infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Ashanti,4657976,1024866,78,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Western North,749168,278554,62.82,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Ahafo,480708,151082,68.57,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Bono,1036053,295287,71.5,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Bono East,1002548,437682,56.34,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Oti,616851,304749,50.6,Context 2,Middle Belt,Major agricultural and transitional zones with moderate infrastructure.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Northern,1828512,1072926,41.32,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-11.3,2026
Increased Enrolment,NER,2019,33.7,2022,56.3,2026,45,Second Cycle Education (SHS),Savannah,521415,350330,32.81,Context 1,Northern Savannah,Characterized by high poverty indices and unique educational barriers.,-11.3,2026
